License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
100250,Baldwin TLC,7910 Long Branch Pkwy,Takoma Park,20912,139611,-76.99645372,38.98794118,5/4/2017,,1,0,6,6,4.5,1.52,0,0,0,troubled,"(38.9879, -76.9965)"
17461,Peppertree Farm,14120 Weeping Willow Dr,Silver Spring,20906,144900,-77.06564945,39.08830481,2/14/2018,,1,0,881,450,2.28,1.53,86,0.12,0.06,troubled,"(39.0883, -77.0656)"
17019,"Maplewood Avenue, 800",800 Maplewood Ave,Takoma Park,20912,139612,-77.0006825,38.98851235,3/29/2017,,2,0,4,4,1.75,1.66,0,0,0,at-risk,"(38.9885, -77.0007)"
17334,"Greenwood Avenue, 8406",8406 Greenwood Ave,Takoma Park,20912,139515,-77.00156919,38.99464348,4/6/2017,,2,0,4,1,1,2,0,0,0,at-risk,"(38.9946, -77.0016)"
96373,"Plymouth Street, 8713",8713 Plymouth St,Silver Spring,20901,151006,-77.0071747,38.99999193,10/8/2018,,1,0,6,6,2.83,1.58,0,0.16,0.16,troubled,"(39.0, -77.0072)"
17788,"Greenwood Avenue, 8207",8207 Greenwood Ave,Takoma Park,20912,139484,-77.00053827,38.99217787,10/26/2017,,2,0,3,5,2,1.6,0,0,0,at-risk,"(38.9922, -77.0005)"
17982,"Avondale Street, 4508-4510",4508 Avondale St,Bethesda,20814,148711,-77.09263001,38.98596059,7/17/2018,,1,0,7,10,2.2,1.81,0,0,0,troubled,"(38.986, -77.0926)"
17943,Greenwood Mews,8211 Greenwood Ave,Takoma Park,20912,139531,-77.00074237,38.99255402,4/24/2017,,2,0,3,3,1,1.55,1,0,0,at-risk,"(38.9926, -77.0007)"
17484,"Longbranch Parkway, 7906",7906 Long Branch Pkwy,Takoma Park,20912,138304,-76.99601748,38.9877078,2/2/2017,,2,0,3,2,1,2,0,0,0,at-risk,"(38.9877, -76.996)"
18024,"Flower Avenue, 8511",8511 Flower Ave,Takoma Park,20912,139550,-77.0026002,38.99609044,3/23/2017,,2,0,2,2,1,2,0,0,0,at-risk,"(38.9961, -77.0026)"
18216,"Houston Avenue, 811",811 Houston Ave,Takoma Park,20912,139600,-77.00059455,38.99110428,3/23/2017,,2,0,3,3,2.33,1.42,0,0,0,at-risk,"(38.9911, -77.0006)"
18161,"Garland Avenue, 8005",8005 Garland Ave,Takoma Park,20912,150994,-76.9985786,38.98993188,9/13/2018,,1,0,3,4,2.5,2.44,0,0,0.5,troubled,"(38.9899, -76.9986)"
17190,"Perrywood, 26040 Woodfield Rd, Damascus, 20872",26040 Woodfield Rd,Damascus,20872,147580,-77.20280631,39.28439922,6/28/2018,,1,0,26,25,4.4,1.58,5,0.2,0.24,troubled,"(39.2844, -77.2028)"
90173,"Flower Avenue, 8101",8101 Flower Ave,Takoma Park,20912,139533,-77.00108361,38.98988247,3/16/2017,,2,0,6,6,1.5,2,0,0,0,at-risk,"(38.9899, -77.0011)"
17810,"Plymouth Street, 8711",8711 Plymouth St,Silver Spring,20901,146662,-77.00722744,38.99983542,5/2/2018,,1,0,6,6,1.66,1.9,0,0,0.16,at-risk,"(38.9998, -77.0072)"
18236,Prospect House,921 Prospect St,Takoma Park,20912,138382,-76.99781866,38.98939371,4/6/2017,,2,0,4,2,1.5,2.33,0,0,0,at-risk,"(38.9894, -76.9978)"
17437,"Plymouth Street, 8717",8717 Plymouth St,Silver Spring,20901,146628,-77.00710786,39.00018962,5/7/2018,,1,0,4,4,2.5,1.3,2,0.25,0.5,troubled,"(39.0002, -77.0071)"
17954,"Plymouth Street, 8800",8800 Plymouth St,Silver Spring,20901,146667,-77.00762514,39.00061791,4/9/2018,,1,0,6,6,1.5,2.22,0,0,0.16,at-risk,"(39.0006, -77.0076)"
17769,"Glenville Road, 8801",8801 Glenville Rd,Silver Spring,20901,139630,-76.99699497,38.99961868,4/12/2017,,2,0,4,4,2,1.66,0,0,0,at-risk,"(38.9996, -76.997)"
17421,Blair Park Gardens,7700 Blair Rd,Takoma Park,20912,146187,-77.02397801,38.98315026,3/20/2018,,1,0,74,19,2.15,2.19,0,0.21,0.21,troubled,"(38.9832, -77.024)"
17713,Bradley Terrace,6903 Strathmore St,Chevy Chase,20815-6225,146180,-77.09238117,38.9785556,3/16/2018,,1,0,24,7,4.85,1.48,1,0,0.42,troubled,"(38.9786, -77.0924)"
18231,"Houston Avenue, 809",809 Houston Ave,Takoma Park,20912,139565,-77.00080212,38.99107136,4/24/2017,,2,0,2,2,1.5,1.66,0,0,0,at-risk,"(38.9911, -77.0008)"
17443,Foxhall Apartments,8715 Piney Branch Rd,Silver Spring,20901,149257,-76.99598163,38.99878119,8/30/2018,,1,0,263,59,1.45,1.75,17,0.2,0,troubled,"(38.9988, -76.996)"
17316,"Quebec Terrace, 1027-1029",1027 Quebec Ter,Silver Spring,20903,139446,-76.98950173,38.99936658,4/17/2017,,1,0,8,8,6.87,1.56,0,0,0.12,troubled,"(38.9994, -76.9895)"
17478,"Garland Avenue, 8111",8111 Garland Ave,Takoma Park,20912,151013,-76.99918023,38.991291,10/15/2018,,1,0,3,3,2.33,2.14,0,0,0,troubled,"(38.9913, -76.9992)"
96482,8417 Flower Ave,8417 Flower Ave,Takoma Park,20912,138932,-77.0022518,38.99524203,4/13/2017,,2,0,4,5,1,2.2,0,0,0,at-risk,"(38.9952, -77.0023)"
17174,"Avondale Street, 4530",4530 Avondale St,Bethesda,20814,146620,-77.0936114,38.98586647,4/24/2018,,1,0,4,4,5,1.45,0,0,0.25,troubled,"(38.9859, -77.0936)"
17729,"Avondale Street, 4534 & 4536",4534 Avondale St,Bethesda,20814,147571,-77.09380136,38.98585259,6/6/2018,,1,0,4,4,4,1.31,1,0,0.25,troubled,"(38.9859, -77.0938)"
17813,"Plymouth Street, 8712",8712 Plymouth St,Silver Spring,20901,146663,-77.00777639,39.0001374,5/7/2018,,1,0,6,6,2.33,1.66,1,0,0.16,troubled,"(39.0001, -77.0078)"
17301,Sligo House Apartments,603 Sligo Ave,Silver Spring,20910,141074,-77.01366742,38.99129111,6/23/2017,,2,0,64,33,2.39,1.28,5,0,0,at-risk,"(38.9913, -77.0137)"
17447,"Greenwood Avenue, 8606",8606 Greenwood Ave,Takoma Park,20912,139527,-77.00244187,38.99735899,3/30/2017,,2,0,3,3,1,1.66,0,0,0,at-risk,"(38.9974, -77.0024)"
17956,"Plymouth Street, 8709",8709 Plymouth St,Silver Spring,20901,146670,-77.00728372,38.99967614,5/2/2018,,1,0,6,6,1.83,2.5,0,0,0.33,troubled,"(38.9997, -77.0073)"
17168,The Warwick,1131 University Blvd W,Silver Spring,20902,146490,-77.02866189,39.03634092,4/19/2018,,3,1,399,102,1,1.29,32,0.05,0,compliant,"(39.0363, -77.0287)"
106982,Cherry Knolls Apartment,18832 BENT WILLOW CIR,GERMANTOWN,20874,146689,0,0,8/8/2018,,3,1,300,74,0.71,0.94,33,0.01,0.04,compliant,"(0.0, 0.0)"
17628,The Verandahs Apartments,9300 Willow Creek Dr,Montgomery Village,20886,154292,0,0,5/14/2019,,1,1,185,52,2.19,1.83,6,0.15,0,troubled,"(0.0, 0.0)"
17279,Georgia West,8708 1St Ave,Silver Spring,20910,152880,-77.03263164,38.99772785,3/1/2019,,3,1,107,23,0.08,0.32,18,0,0,compliant,"(38.9977, -77.0326)"
17979,"Avondale Street, 4527",4527 Avondale St,Bethesda,20814,148709,-77.09346069,38.98629768,5/3/2019,,2,1,4,4,0.75,1.66,0,0,0,at-risk,"(38.9863, -77.0935)"
17761,"Dale Drive, 527",527 Dale Dr,Silver Spring,20910,153705,-77.01735099,39.00060315,3/12/2019,,2,1,10,6,0.66,0.66,2,0,0,compliant,"(39.0006, -77.0174)"
17323,"Bonifant Street, 828",828 Bonifant St,Silver Spring,20910,153883,-77.02284544,38.99472088,3/7/2019,,2,1,3,3,0,0,2,0,0,compliant,"(38.9947, -77.0228)"
17451,Rock Creek Palisades,11300 Connecticut Ave,Kensington,20895,147458,-77.07718369,39.04250013,6/12/2018,,3,1,60,17,0.52,0.39,13,0,0,compliant,"(39.0425, -77.0772)"
